Archive_Date,Specialty_HIPE,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
1/31/2021,2600,General Surgery,Adult,16-64,18 Months +,21
1/31/2021,2600,General Surgery,Adult,65+, 3-6 Months,25
1/31/2021,2600,General Surgery,Adult,65+, 6-9 Months,14
1/31/2021,1902,Paed Cardiology,Adult,16-64, 3-6 Months,4
1/31/2021,1902,Paed Cardiology,Adult,16-64, 9-12 Months,4
1/31/2021,1902,Paed Cardiology,Adult,16-64,12-15 Months,3
1/31/2021,1902,Paed Cardiology,Child,0-15,15-18 Months,122
1/31/2021,1905,Paed Endocrinology,Child,0-15, 3-6 Months,22
1/31/2021,1905,Paed Endocrinology,Child,0-15, 6-9 Months,7
1/31/2021,1905,Paed Endocrinology,Child,0-15,12-15 Months,21
1/31/2021,1912,Paediatric Respiratory Medicine,Child,0-15, 6-9 Months,9
1/31/2021,1912,Paediatric Respiratory Medicine,Child,0-15, 9-12 Months,41
1/31/2021,2000,Plastic Surgery,Adult,16-64,15-18 Months,124
1/31/2021,2000,Plastic Surgery,Adult,65+, 0-3 Months,87
1/31/2021,2000,Plastic Surgery,Adult,65+, 9-12 Months,28
1/31/2021,2000,Plastic Surgery,Child,0-15,12-15 Months,26
1/31/2021,2003,Maxillo-Facial,Adult,16-64, 0-3 Months,9
1/31/2021,2500,Rheumatology,Adult,16-64, 0-3 Months,252
1/31/2021,2500,Rheumatology,Adult,16-64, 6-9 Months,164
1/31/2021,2500,Rheumatology,Adult,16-64, 9-12 Months,188
1/31/2021,2500,Rheumatology,Adult,65+, 3-6 Months,44
1/31/2021,2500,Rheumatology,Adult,65+,12-15 Months,52
1/31/2021,2600,General Surgery,Adult,16-64,18 Months +,14
1/31/2021,2600,General Surgery,Adult,65+, 0-3 Months,101
1/31/2021,2600,General Surgery,Adult,65+, 3-6 Months,19
1/31/2021,2600,General Surgery,Adult,65+, 6-9 Months,17
1/31/2021,2600,General Surgery,Adult,65+, 9-12 Months,7
1/31/2021,2603,Hepato-Biliary Surgery,Adult,16-64, 0-3 Months,6
1/31/2021,2603,Hepato-Biliary Surgery,Adult,16-64, 9-12 Months,1
1/31/2021,2603,Hepato-Biliary Surgery,Adult,65+, 3-6 Months,7
1/31/2021,2603,Hepato-Biliary Surgery,Adult,65+, 6-9 Months,5
1/31/2021,2604,Vascular Surgery,Adult,65+, 0-3 Months,112
1/31/2021,2604,Vascular Surgery,Adult,65+, 6-9 Months,22
1/31/2021,2604,Vascular Surgery,Adult,65+, 9-12 Months,16
1/31/2021,2604,Vascular Surgery,Adult,65+,18 Months +,39
1/31/2021,2604,Vascular Surgery,Child,0-15, 3-6 Months,1
1/31/2021,2605,Breast Surgery,Adult,16-64, 3-6 Months,443
1/31/2021,2605,Breast Surgery,Adult,16-64, 6-9 Months,277
1/31/2021,2605,Breast Surgery,Adult,16-64, 9-12 Months,199
1/31/2021,2605,Breast Surgery,Adult,16-64,12-15 Months,103
1/31/2021,2605,Breast Surgery,Adult,16-64,18 Months +,3
1/31/2021,5000,General Medicine,Adult,16-64, 6-9 Months,4
1/31/2021,7600,Cardio-Thoracic Surgery,Adult,65+, 0-3 Months,13
1/31/2021,7800,Urology,Adult,16-64, 0-3 Months,225
1/31/2021,7800,Urology,Adult,16-64, 6-9 Months,120
1/31/2021,7800,Urology,Adult,16-64, 9-12 Months,108
1/31/2021,7800,Urology,Adult,16-64,18 Months +,250
1/31/2021,7800,Urology,Adult,65+, 3-6 Months,85
1/31/2021,7800,Urology,Adult,65+,12-15 Months,49
1/31/2021,7800,Urology,Child,0-15,15-18 Months,36
1/31/2021,1503,Gynaecology,Adult,65+,15-18 Months,2
1/31/2021,1503,Gynaecology,Child,0-15, 0-3 Months,17
1/31/2021,1503,Gynaecology,Child,0-15, 6-9 Months,1
1/31/2021,0,Small Volume Specialities,Adult,65+, 3-6 Months,1
1/31/2021,100,Cardiology,Adult,16-64,18 Months +,316
1/31/2021,100,Cardiology,Adult,65+, 0-3 Months,68
1/31/2021,100,Cardiology,Adult,65+, 3-6 Months,71
1/31/2021,100,Cardiology,Adult,65+,12-15 Months,71
1/31/2021,300,Dermatology,Adult,16-64, 6-9 Months,29
1/31/2021,300,Dermatology,Adult,16-64, 9-12 Months,43
1/31/2021,300,Dermatology,Adult,16-64,18 Months +,82
1/31/2021,300,Dermatology,Adult,65+, 3-6 Months,24
1/31/2021,300,Dermatology,Adult,65+,12-15 Months,10
1/31/2021,300,Dermatology,Child,0-15,15-18 Months,19
1/31/2021,400,Endocrinology,Adult,65+,15-18 Months,2
1/31/2021,402,Diabetes Mellitus,Adult,65+,15-18 Months,15
1/31/2021,402,Diabetes Mellitus,Adult,65+,18 Months +,2
1/31/2021,402,Diabetes Mellitus,Child,0-15, 3-6 Months,1
1/31/2021,600,Otolaryngology (ENT),Adult,16-64, 0-3 Months,69
1/31/2021,600,Otolaryngology (ENT),Adult,16-64, 3-6 Months,71
1/31/2021,600,Otolaryngology (ENT),Adult,16-64, 6-9 Months,63
1/31/2021,600,Otolaryngology (ENT),Adult,16-64, 9-12 Months,60
1/31/2021,600,Otolaryngology (ENT),Adult,16-64,12-15 Months,80
1/31/2021,600,Otolaryngology (ENT),Child,0-15,15-18 Months,29
1/31/2021,600,Otolaryngology (ENT),Child,0-15,18 Months +,285
1/31/2021,700,Gastro-Enterology,Adult,16-64, 3-6 Months,20
1/31/2021,700,Gastro-Enterology,Adult,16-64, 6-9 Months,8
1/31/2021,700,Gastro-Enterology,Adult,16-64, 9-12 Months,17
1/31/2021,700,Gastro-Enterology,Adult,16-64,12-15 Months,12
1/31/2021,900,Geriatric Medicine,Adult,16-64, 0-3 Months,1
1/31/2021,900,Geriatric Medicine,Adult,65+, 3-6 Months,12
1/31/2021,900,Geriatric Medicine,Adult,65+, 6-9 Months,11
1/31/2021,900,Geriatric Medicine,Adult,65+,12-15 Months,5
1/31/2021,1300,Neurology,Adult,16-64,15-18 Months,3
1/31/2021,1300,Neurology,Adult,65+, 0-3 Months,11
1/31/2021,1300,Neurology,Adult,65+, 6-9 Months,7
1/31/2021,1300,Neurology,Adult,65+, 9-12 Months,8
1/31/2021,1503,Gynaecology,Adult,16-64,15-18 Months,84
1/31/2021,1503,Gynaecology,Adult,65+,12-15 Months,13
1/31/2021,1503,Gynaecology,Adult,65+,18 Months +,7
1/31/2021,1503,Gynaecology,Child,0-15, 0-3 Months,7
1/31/2021,1503,Gynaecology,Child,0-15, 9-12 Months,2
1/31/2021,1800,Orthopaedics,Adult,65+,15-18 Months,98
1/31/2021,1800,Orthopaedics,Adult,65+,18 Months +,372
1/31/2021,1800,Orthopaedics,Child,0-15, 0-3 Months,16
1/31/2021,1800,Orthopaedics,Child,0-15, 3-6 Months,13
1/31/2021,1800,Orthopaedics,Child,0-15,12-15 Months,17
1/31/2021,1900,Paediatrics,Adult,16-64, 3-6 Months,1
1/31/2021,1900,Paediatrics,Adult,16-64, 6-9 Months,2
1/31/2021,1900,Paediatrics,Adult,16-64, 9-12 Months,3
1/31/2021,1900,Paediatrics,Adult,16-64,12-15 Months,1
1/31/2021,1900,Paediatrics,Child,0-15,15-18 Months,1
1/31/2021,2000,Plastic Surgery,Adult,16-64, 0-3 Months,13
1/31/2021,2000,Plastic Surgery,Adult,16-64, 3-6 Months,18
1/31/2021,2000,Plastic Surgery,Adult,16-64, 9-12 Months,7
1/31/2021,2000,Plastic Surgery,Adult,16-64,12-15 Months,11
1/31/2021,2000,Plastic Surgery,Child,0-15,15-18 Months,5
1/31/2021,2500,Rheumatology,Adult,65+,15-18 Months,12
1/31/2021,2600,General Surgery,Adult,16-64, 3-6 Months,352
1/31/2021,2600,General Surgery,Adult,16-64, 6-9 Months,215
1/31/2021,2600,General Surgery,Adult,16-64,12-15 Months,163
1/31/2021,2600,General Surgery,Adult,65+,15-18 Months,25
1/31/2021,0,Small Volume Specialities,Adult,16-64, 0-3 Months,3
1/31/2021,0,Small Volume Specialities,Adult,16-64, 3-6 Months,1
1/31/2021,100,Cardiology,Adult,16-64, 6-9 Months,65
1/31/2021,100,Cardiology,Adult,16-64, 9-12 Months,93
1/31/2021,700,Gastro-Enterology,Adult,65+,15-18 Months,5
1/31/2021,700,Gastro-Enterology,Child,0-15,18 Months +,1
1/31/2021,900,Geriatric Medicine,Adult,65+,15-18 Months,1
1/31/2021,1100,Haematology,Adult,16-64, 0-3 Months,40
1/31/2021,1100,Haematology,Adult,16-64, 3-6 Months,13
1/31/2021,1100,Haematology,Adult,16-64,12-15 Months,1
1/31/2021,1302,Paediatric Neurology,Child,0-15, 0-3 Months,18
1/31/2021,1302,Paediatric Neurology,Child,0-15, 3-6 Months,6
1/31/2021,1302,Paediatric Neurology,Child,0-15, 9-12 Months,18
1/31/2021,1302,Paediatric Neurology,Child,0-15,12-15 Months,17
1/31/2021,1700,Ophthalmology,Child,0-15, 0-3 Months,5
1/31/2021,1700,Ophthalmology,Child,0-15, 3-6 Months,3
1/31/2021,1700,Ophthalmology,Child,0-15,12-15 Months,7
1/31/2021,1900,Paediatrics,Child,0-15, 0-3 Months,117
1/31/2021,1900,Paediatrics,Child,0-15, 6-9 Months,15
1/31/2021,1900,Paediatrics,Child,0-15, 9-12 Months,3
1/31/2021,1900,Paediatrics,Child,0-15,12-15 Months,4
1/31/2021,2400,Respiratory Medicine,Adult,16-64, 0-3 Months,119
1/31/2021,2400,Respiratory Medicine,Adult,16-64, 6-9 Months,44
1/31/2021,2400,Respiratory Medicine,Adult,16-64, 9-12 Months,62
1/31/2021,2400,Respiratory Medicine,Adult,65+, 3-6 Months,29
1/31/2021,2400,Respiratory Medicine,Adult,65+,12-15 Months,46
1/31/2021,2600,General Surgery,Adult,65+, 0-3 Months,62
1/31/2021,2600,General Surgery,Adult,65+,18 Months +,7
1/31/2021,2602,Gastro-Intestinal Surgery,Adult,65+,15-18 Months,2
1/31/2021,2602,Gastro-Intestinal Surgery,Adult,65+,18 Months +,7
1/31/2021,2603,Hepato-Biliary Surgery,Adult,16-64,15-18 Months,2
1/31/2021,2603,Hepato-Biliary Surgery,Adult,65+, 6-9 Months,1
1/31/2021,2603,Hepato-Biliary Surgery,Adult,65+, 9-12 Months,1
1/31/2021,2604,Vascular Surgery,Adult,16-64, 3-6 Months,47
1/31/2021,2604,Vascular Surgery,Adult,65+,15-18 Months,19
1/31/2021,2604,Vascular Surgery,Child,0-15, 0-3 Months,2
1/31/2021,2604,Vascular Surgery,Child,0-15, 3-6 Months,1
1/31/2021,5000,General Medicine,Adult,16-64, 0-3 Months,15
1/31/2021,5000,General Medicine,Adult,16-64, 9-12 Months,1
1/31/2021,5000,General Medicine,Adult,16-64,18 Months +,2
1/31/2021,5000,General Medicine,Adult,65+, 3-6 Months,4
1/31/2021,5000,General Medicine,Adult,65+, 6-9 Months,2
1/31/2021,5000,General Medicine,Adult,65+,12-15 Months,1
1/31/2021,2600,General Surgery,Adult,65+,12-15 Months,4
1/31/2021,2600,General Surgery,Adult,65+,15-18 Months,1
1/31/2021,2600,General Surgery,Child,0-15, 0-3 Months,1
1/31/2021,2602,Gastro-Intestinal Surgery,Adult,16-64, 3-6 Months,29
1/31/2021,2602,Gastro-Intestinal Surgery,Adult,16-64, 6-9 Months,14
1/31/2021,2602,Gastro-Intestinal Surgery,Adult,16-64,12-15 Months,17
1/31/2021,2602,Gastro-Intestinal Surgery,Adult,16-64,15-18 Months,17
1/31/2021,2602,Gastro-Intestinal Surgery,Child,0-15, 6-9 Months,1
1/31/2021,2603,Hepato-Biliary Surgery,Adult,16-64,18 Months +,3
1/31/2021,2603,Hepato-Biliary Surgery,Adult,65+, 0-3 Months,12
1/31/2021,2603,Hepato-Biliary Surgery,Adult,65+, 3-6 Months,2
1/31/2021,2604,Vascular Surgery,Adult,16-64, 9-12 Months,33
1/31/2021,2604,Vascular Surgery,Adult,65+, 3-6 Months,33
1/31/2021,2604,Vascular Surgery,Adult,65+,18 Months +,46
1/31/2021,5000,General Medicine,Adult,16-64, 3-6 Months,9
1/31/2021,5000,General Medicine,Adult,16-64, 6-9 Months,3
1/31/2021,5000,General Medicine,Adult,65+, 9-12 Months,2
1/31/2021,7800,Urology,Adult,65+, 9-12 Months,26
1/31/2021,8003,Pain Relief,Adult,16-64,18 Months +,436
1/31/2021,8003,Pain Relief,Adult,65+, 0-3 Months,25
1/31/2021,8003,Pain Relief,Adult,65+, 3-6 Months,32
1/31/2021,8003,Pain Relief,Adult,65+, 6-9 Months,19
1/31/2021,8003,Pain Relief,Adult,65+,12-15 Months,14
1/31/2021,8003,Pain Relief,Adult,65+,15-18 Months,21
1/31/2021,8003,Pain Relief,Child,0-15, 0-3 Months,2
1/31/2021,8003,Pain Relief,Child,0-15,15-18 Months,1
1/31/2021,8900,Microbiology,Adult,16-64, 0-3 Months,41
1/31/2021,8900,Microbiology,Adult,16-64,18 Months +,3
1/31/2021,8900,Microbiology,Adult,65+,12-15 Months,1
1/31/2021,300,Dermatology,Adult,16-64, 9-12 Months,150
1/31/2021,300,Dermatology,Adult,65+, 0-3 Months,274
1/31/2021,300,Dermatology,Adult,65+,18 Months +,44
1/31/2021,300,Dermatology,Child,0-15,18 Months +,54
1/31/2021,400,Endocrinology,Adult,16-64, 9-12 Months,70
1/31/2021,400,Endocrinology,Adult,65+,18 Months +,59
1/31/2021,600,Otolaryngology (ENT),Adult,16-64, 6-9 Months,236
1/31/2021,600,Otolaryngology (ENT),Adult,65+, 9-12 Months,45
1/31/2021,600,Otolaryngology (ENT),Child,0-15, 9-12 Months,51
1/31/2021,1800,Orthopaedics,Adult,16-64, 0-3 Months,652
1/31/2021,1800,Orthopaedics,Adult,16-64, 3-6 Months,570
1/31/2021,1800,Orthopaedics,Adult,16-64,12-15 Months,352
1/31/2021,1800,Orthopaedics,Adult,16-64,15-18 Months,387
1/31/2021,1800,Orthopaedics,Adult,65+, 9-12 Months,177
1/31/2021,1800,Orthopaedics,Child,0-15, 3-6 Months,148
1/31/2021,1800,Orthopaedics,Child,0-15,12-15 Months,27
1/31/2021,2000,Plastic Surgery,Adult,65+, 0-3 Months,96
1/31/2021,2000,Plastic Surgery,Adult,65+,15-18 Months,56
1/31/2021,2000,Plastic Surgery,Adult,65+,18 Months +,197
1/31/2021,2000,Plastic Surgery,Child,0-15,18 Months +,64
1/31/2021,7800,Urology,Adult,16-64,15-18 Months,86
1/31/2021,7800,Urology,Adult,65+, 3-6 Months,33
1/31/2021,7800,Urology,Adult,65+,12-15 Months,15
1/31/2021,7800,Urology,Adult,65+,18 Months +,71
1/31/2021,7800,Urology,Child,0-15, 6-9 Months,26
1/31/2021,7800,Urology,Child,0-15, 9-12 Months,27
1/31/2021,8003,Pain Relief,Adult,16-64, 0-3 Months,55
1/31/2021,8003,Pain Relief,Adult,16-64, 3-6 Months,82
1/31/2021,8003,Pain Relief,Adult,16-64, 9-12 Months,46
1/31/2021,8003,Pain Relief,Adult,16-64,12-15 Months,52
1/31/2021,8900,Microbiology,Adult,16-64, 3-6 Months,6
1/31/2021,8900,Microbiology,Adult,16-64, 6-9 Months,2
1/31/2021,8900,Microbiology,Adult,16-64,12-15 Months,3
1/31/2021,300,Dermatology,Adult,65+,15-18 Months,17
1/31/2021,300,Dermatology,Child,0-15, 0-3 Months,74
1/31/2021,300,Dermatology,Child,0-15, 9-12 Months,38
1/31/2021,400,Endocrinology,Adult,65+, 0-3 Months,28
1/31/2021,400,Endocrinology,Adult,65+, 6-9 Months,20
1/31/2021,400,Endocrinology,Adult,65+, 9-12 Months,22
1/31/2021,600,Otolaryngology (ENT),Adult,16-64,15-18 Months,217
1/31/2021,600,Otolaryngology (ENT),Adult,65+,18 Months +,253
1/31/2021,600,Otolaryngology (ENT),Child,0-15, 0-3 Months,227
1/31/2021,600,Otolaryngology (ENT),Child,0-15, 3-6 Months,95
1/31/2021,600,Otolaryngology (ENT),Child,0-15,12-15 Months,36
1/31/2021,1800,Orthopaedics,Adult,16-64,18 Months +,1610
1/31/2021,1800,Orthopaedics,Adult,65+, 0-3 Months,314
1/31/2021,1800,Orthopaedics,Adult,65+, 3-6 Months,236
1/31/2021,1800,Orthopaedics,Adult,65+, 6-9 Months,161
1/31/2021,1800,Orthopaedics,Adult,65+,12-15 Months,171
1/31/2021,1800,Orthopaedics,Child,0-15,15-18 Months,15
1/31/2021,2000,Plastic Surgery,Adult,16-64,15-18 Months,122
1/31/2021,2000,Plastic Surgery,Child,0-15, 0-3 Months,17
1/31/2021,2000,Plastic Surgery,Child,0-15, 6-9 Months,7
1/31/2021,2000,Plastic Surgery,Child,0-15, 9-12 Months,10
1/31/2021,2003,Maxillo-Facial,Adult,16-64, 0-3 Months,70
1/31/2021,2003,Maxillo-Facial,Adult,16-64,15-18 Months,38
1/31/2021,2003,Maxillo-Facial,Adult,16-64,18 Months +,55
1/31/2021,2003,Maxillo-Facial,Adult,65+, 3-6 Months,10
1/31/2021,2003,Maxillo-Facial,Adult,65+, 6-9 Months,6
1/31/2021,2003,Maxillo-Facial,Adult,65+, 9-12 Months,5
1/31/2021,2003,Maxillo-Facial,Adult,65+,12-15 Months,2
1/31/2021,2500,Rheumatology,Adult,65+, 0-3 Months,63
1/31/2021,2500,Rheumatology,Adult,65+, 6-9 Months,18
1/31/2021,2500,Rheumatology,Adult,65+, 9-12 Months,8
1/31/2021,2600,General Surgery,Adult,16-64,15-18 Months,1
1/31/2021,2600,General Surgery,Child,0-15, 6-9 Months,7
1/31/2021,2600,General Surgery,Child,0-15, 9-12 Months,5
1/31/2021,100,Cardiology,Adult,65+, 6-9 Months,84
1/31/2021,100,Cardiology,Adult,65+,15-18 Months,64
1/31/2021,100,Cardiology,Child,0-15, 3-6 Months,1
1/31/2021,300,Dermatology,Adult,16-64, 9-12 Months,232
1/31/2021,300,Dermatology,Adult,65+,18 Months +,717
1/31/2021,600,Otolaryngology (ENT),Adult,16-64, 3-6 Months,439
1/31/2021,600,Otolaryngology (ENT),Adult,16-64, 6-9 Months,327
1/31/2021,600,Otolaryngology (ENT),Adult,16-64,12-15 Months,392
1/31/2021,600,Otolaryngology (ENT),Adult,65+, 9-12 Months,129
1/31/2021,600,Otolaryngology (ENT),Child,0-15, 3-6 Months,151
1/31/2021,600,Otolaryngology (ENT),Child,0-15,12-15 Months,235
1/31/2021,700,Gastro-Enterology,Adult,16-64, 9-12 Months,51
1/31/2021,700,Gastro-Enterology,Adult,65+, 6-9 Months,8
1/31/2021,700,Gastro-Enterology,Adult,65+,18 Months +,24
1/31/2021,900,Geriatric Medicine,Adult,16-64, 9-12 Months,2
1/31/2021,1100,Haematology,Adult,16-64,18 Months +,14
1/31/2021,1100,Haematology,Adult,65+, 0-3 Months,72
1/31/2021,1100,Haematology,Adult,65+, 3-6 Months,40
1/31/2021,1100,Haematology,Adult,65+,12-15 Months,10
1/31/2021,1300,Neurology,Adult,16-64,18 Months +,876
1/31/2021,1300,Neurology,Adult,65+, 0-3 Months,28
1/31/2021,1300,Neurology,Adult,65+, 3-6 Months,34
1/31/2021,1300,Neurology,Adult,65+,12-15 Months,26
1/31/2021,1503,Gynaecology,Adult,16-64, 3-6 Months,150
1/31/2021,1503,Gynaecology,Adult,16-64, 6-9 Months,121
1/31/2021,1503,Gynaecology,Adult,16-64,12-15 Months,82
1/31/2021,1503,Gynaecology,Adult,16-64,15-18 Months,36
1/31/2021,1503,Gynaecology,Adult,65+, 9-12 Months,14
1/31/2021,1503,Gynaecology,Child,0-15, 3-6 Months,3
1/31/2021,1503,Gynaecology,Child,0-15, 6-9 Months,1
1/31/2021,1700,Ophthalmology,Adult,16-64, 0-3 Months,299
1/31/2021,1700,Ophthalmology,Adult,16-64, 3-6 Months,216
1/31/2021,1700,Ophthalmology,Adult,16-64, 6-9 Months,115
1/31/2021,1700,Ophthalmology,Adult,16-64,12-15 Months,188
1/31/2021,1700,Ophthalmology,Adult,16-64,15-18 Months,145
1/31/2021,1700,Ophthalmology,Child,0-15, 3-6 Months,91
1/31/2021,1700,Ophthalmology,Child,0-15, 6-9 Months,21
1/31/2021,1700,Ophthalmology,Child,0-15,12-15 Months,12
1/31/2021,1700,Ophthalmology,Child,0-15,15-18 Months,2
1/31/2021,1800,Orthopaedics,Adult,16-64, 0-3 Months,696
1/31/2021,1800,Orthopaedics,Adult,16-64, 6-9 Months,449
1/31/2021,1800,Orthopaedics,Adult,16-64,15-18 Months,477
1/31/2021,1800,Orthopaedics,Adult,16-64,18 Months +,1615
1/31/2021,1800,Orthopaedics,Adult,65+, 3-6 Months,274
1/31/2021,1800,Orthopaedics,Adult,65+,12-15 Months,282
1/31/2021,1800,Orthopaedics,Child,0-15, 0-3 Months,46
1/31/2021,1800,Orthopaedics,Child,0-15, 6-9 Months,21
1/31/2021,1800,Orthopaedics,Child,0-15,12-15 Months,15
1/31/2021,1800,Orthopaedics,Child,0-15,15-18 Months,13
1/31/2021,1900,Paediatrics,Adult,16-64, 9-12 Months,2
1/31/2021,1700,Ophthalmology,Adult,16-64, 9-12 Months,21
1/31/2021,1700,Ophthalmology,Adult,16-64,12-15 Months,16
1/31/2021,1700,Ophthalmology,Child,0-15,15-18 Months,1
1/31/2021,1800,Orthopaedics,Child,0-15, 0-3 Months,59
1/31/2021,1800,Orthopaedics,Child,0-15, 3-6 Months,28
1/31/2021,1800,Orthopaedics,Child,0-15, 6-9 Months,14
1/31/2021,1800,Orthopaedics,Child,0-15, 9-12 Months,19
1/31/2021,1800,Orthopaedics,Child,0-15,12-15 Months,35
1/31/2021,1800,Orthopaedics,Child,0-15,18 Months +,7
1/31/2021,1900,Paediatrics,Adult,16-64, 0-3 Months,4
1/31/2021,1900,Paediatrics,Adult,16-64, 6-9 Months,3
1/31/2021,1900,Paediatrics,Adult,16-64, 9-12 Months,6
1/31/2021,1900,Paediatrics,Child,0-15,15-18 Months,46
1/31/2021,2300,Nephrology,Adult,65+, 0-3 Months,16
1/31/2021,2300,Nephrology,Adult,65+, 3-6 Months,1
1/31/2021,2400,Respiratory Medicine,Adult,16-64,15-18 Months,55
1/31/2021,2400,Respiratory Medicine,Adult,65+, 0-3 Months,33
1/31/2021,2400,Respiratory Medicine,Adult,65+, 6-9 Months,14
1/31/2021,2400,Respiratory Medicine,Adult,65+, 9-12 Months,22
1/31/2021,2400,Respiratory Medicine,Adult,65+,18 Months +,28
1/31/2021,2600,General Surgery,Adult,16-64, 3-6 Months,102
1/31/2021,2600,General Surgery,Adult,16-64, 6-9 Months,14
1/31/2021,2600,General Surgery,Adult,16-64, 9-12 Months,6
1/31/2021,2700,Infectious Diseases,Adult,65+, 0-3 Months,1
1/31/2021,7800,Urology,Adult,65+,15-18 Months,29
1/31/2021,100,Cardiology,Adult,65+, 0-3 Months,219
1/31/2021,100,Cardiology,Adult,65+, 3-6 Months,113
1/31/2021,100,Cardiology,Adult,65+, 6-9 Months,61
1/31/2021,100,Cardiology,Adult,65+, 9-12 Months,14
1/31/2021,100,Cardiology,Adult,65+,12-15 Months,1
1/31/2021,300,Dermatology,Adult,16-64, 0-3 Months,329
1/31/2021,300,Dermatology,Adult,65+, 3-6 Months,141
1/31/2021,300,Dermatology,Adult,65+, 6-9 Months,124
1/31/2021,300,Dermatology,Adult,65+, 9-12 Months,69
1/31/2021,300,Dermatology,Adult,65+,12-15 Months,36
1/31/2021,400,Endocrinology,Adult,16-64, 6-9 Months,90
1/31/2021,400,Endocrinology,Child,0-15, 6-9 Months,1
1/31/2021,600,Otolaryngology (ENT),Adult,16-64, 0-3 Months,617
1/31/2021,600,Otolaryngology (ENT),Adult,16-64, 3-6 Months,468
1/31/2021,600,Otolaryngology (ENT),Adult,16-64, 6-9 Months,269
1/31/2021,600,Otolaryngology (ENT),Adult,16-64,12-15 Months,214
1/31/2021,700,Gastro-Enterology,Adult,16-64, 0-3 Months,328
1/31/2021,700,Gastro-Enterology,Adult,16-64, 3-6 Months,136
1/31/2021,700,Gastro-Enterology,Adult,16-64, 9-12 Months,7
1/31/2021,700,Gastro-Enterology,Adult,65+, 6-9 Months,11
1/31/2021,900,Geriatric Medicine,Adult,65+, 3-6 Months,26
1/31/2021,1100,Haematology,Adult,16-64,15-18 Months,4
1/31/2021,1100,Haematology,Adult,65+, 0-3 Months,85
1/31/2021,1100,Haematology,Adult,65+, 3-6 Months,96
1/31/2021,1100,Haematology,Adult,65+,12-15 Months,10
1/31/2021,1300,Neurology,Adult,16-64,15-18 Months,79
1/31/2021,1300,Neurology,Adult,16-64,18 Months +,7
1/31/2021,1300,Neurology,Adult,65+, 0-3 Months,104
1/31/2021,1400,Neurosurgery,Child,0-15, 6-9 Months,1
1/31/2021,1503,Gynaecology,Adult,65+, 0-3 Months,54
1/31/2021,1503,Gynaecology,Child,0-15, 3-6 Months,1
1/31/2021,1600,Oncology,Adult,65+, 3-6 Months,3
1/31/2021,1700,Ophthalmology,Adult,16-64, 0-3 Months,98
1/31/2021,1700,Ophthalmology,Adult,16-64, 6-9 Months,7
1/31/2021,1700,Ophthalmology,Adult,16-64, 9-12 Months,1
1/31/2021,1700,Ophthalmology,Adult,65+, 3-6 Months,83
1/31/2021,2000,Plastic Surgery,Adult,16-64, 0-3 Months,379
1/31/2021,2000,Plastic Surgery,Adult,16-64, 9-12 Months,168
1/31/2021,2000,Plastic Surgery,Adult,65+, 3-6 Months,63
1/31/2021,2000,Plastic Surgery,Adult,65+, 6-9 Months,34
1/31/2021,2000,Plastic Surgery,Adult,65+,12-15 Months,12
1/31/2021,2100,Psychiatry,Adult,16-64, 3-6 Months,3
1/31/2021,2300,Nephrology,Adult,65+, 0-3 Months,22
1/31/2021,2300,Nephrology,Adult,65+, 3-6 Months,2
1/31/2021,2400,Respiratory Medicine,Adult,65+, 0-3 Months,72
1/31/2021,2400,Respiratory Medicine,Adult,65+, 9-12 Months,2
1/31/2021,2400,Respiratory Medicine,Child,0-15, 3-6 Months,1
1/31/2021,2500,Rheumatology,Adult,16-64, 3-6 Months,41
1/31/2021,2500,Rheumatology,Adult,16-64,12-15 Months,1
1/31/2021,2600,General Surgery,Adult,16-64, 0-3 Months,307
1/31/2021,2600,General Surgery,Adult,16-64, 3-6 Months,40
1/31/2021,2600,General Surgery,Adult,16-64, 6-9 Months,1
1/31/2021,2600,General Surgery,Adult,16-64,12-15 Months,1
1/31/2021,2604,Vascular Surgery,Adult,16-64, 0-3 Months,171
1/31/2021,2604,Vascular Surgery,Adult,16-64, 6-9 Months,10
1/31/2021,2604,Vascular Surgery,Adult,65+, 3-6 Months,77
1/31/2021,2605,Breast Surgery,Adult,16-64, 0-3 Months,734
1/31/2021,2605,Breast Surgery,Child,0-15, 0-3 Months,1
1/31/2021,2700,Infectious Diseases,Adult,65+, 0-3 Months,2
1/31/2021,7800,Urology,Adult,16-64, 3-6 Months,233
1/31/2021,7800,Urology,Adult,16-64,12-15 Months,152
1/31/2021,7800,Urology,Adult,65+,15-18 Months,13
1/31/2021,7900,Clinical Immunology,Adult,16-64, 3-6 Months,6
1/31/2021,8003,Pain Relief,Adult,16-64,15-18 Months,43
1/31/2021,8003,Pain Relief,Adult,16-64,18 Months +,38
1/31/2021,8003,Pain Relief,Adult,65+, 0-3 Months,64
1/31/2021,8003,Pain Relief,Adult,65+, 3-6 Months,54
1/31/2021,8003,Pain Relief,Adult,65+, 9-12 Months,33
1/31/2021,8003,Pain Relief,Adult,65+,12-15 Months,27
1/31/2021,1503,Gynaecology,Adult,65+,15-18 Months,1
1/31/2021,1503,Gynaecology,Child,0-15, 0-3 Months,14
1/31/2021,100,Cardiology,Adult,16-64, 3-6 Months,169
1/31/2021,100,Cardiology,Adult,16-64, 6-9 Months,110
1/31/2021,100,Cardiology,Adult,16-64,12-15 Months,136
1/31/2021,100,Cardiology,Child,0-15,18 Months +,12
